kid_pctile,Par_pctile_01_10,Par_pctile_11_20,Par_pctile_21_30,Par_pctile_31_40,Par_pctile_41_50,Par_pctile_51_60,Par_pctile_61_70,Par_pctile_71_80,Par_pctile_81_90,Par_pctile_91_100
1 to 10,1.957,1.516,1.302,1.103,0.938,0.792,0.677,0.611,0.544,0.575
11 to 20,1.767,1.497,1.314,1.119,0.978,0.853,0.744,0.643,0.571,0.514
21 to 30,1.619,1.496,1.312,1.139,0.997,0.89,0.784,0.675,0.599,0.496
31 to 40,1.206,1.283,1.24,1.16,1.084,0.996,0.919,0.816,0.721,0.578
41 to 50,0.949,1.086,1.135,1.141,1.111,1.078,1.018,0.952,0.854,0.681
51 to 60,0.761,0.894,0.992,1.064,1.106,1.111,1.118,1.079,1.009,0.858
61 to 70,0.604,0.75,0.863,0.99,1.08,1.141,1.172,1.192,1.159,1.06
71 to 80,0.489,0.631,0.755,0.9,1.035,1.155,1.237,1.293,1.292,1.215
81 to 90,0.379,0.504,0.631,0.781,0.945,1.102,1.265,1.392,1.505,1.487
91 to 100,0.271,0.349,0.458,0.589,0.724,0.88,1.076,1.352,1.751,2.555
